과목명,강의 내용,상세 URL
자바 ORM 표준 JPA 프로그래밍 - 기본편,"JPA를 처음 접하거나, 실무에서 JPA를 사용하지만 기본 이론이 부족하신 분들이
JPA의 기본 이론을 탄탄하게 학습해서 초보자도 실무에서 자신있게 JPA를 사용할 수 있습니다.",https://www.inflearn.com/course/ORM-JPA-Basic?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
모든 개발자를 위한 HTTP 웹 기본 지식,실무에 꼭 필요한 HTTP 핵심 기능과 올바른 HTTP API 설계 방법을 학습합니다.,https://www.inflearn.com/course/http-웹-네트워크?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
실전! 스프링 부트와 JPA 활용1 - 웹 애플리케이션 개발,"실무에 가까운 예제로, 스프링 부트와 JPA를 활용해서 웹 애플리케이션을 설계하고 개발합니다. 이 과정을 통해 스프링 부트와 JPA를 실무에서 어떻게 활용해야 하는지 이해할 수 있습니다.",https://www.inflearn.com/course/스프링부트-JPA-활용-1?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
ChatGPT API를 이용한 인공지능 서비스 개발,OpenAI사의 ChatGPT API를 이용해서 인공지능 서비스를 개발하는 방법을 설명합니다.,https://www.inflearn.com/course/chatgpt-api활용-서비스-개발?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
[켠김에 출시까지] UE5 다크앤다커 스타일의 익스트랙션 RPG (D1),"<다크앤다커 스타일의 익스트랙션 온라인 RPG 게임> D1 개발을
처음부터 끝까지 따라가며 UE5 기술을 학습하는 강의입니다.",https://www.inflearn.com/course/켠김에-출시까지-다크앤다커-d1?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
Flutter Contributor와 함께하는 Flutter 입문,Flutter가 처음이신가요? Flutter Contributor가 처음부터 하나씩 소개해드립니다! Gemini를 활용한 AI 프로젝트로 Flutter 개발을 시작해보세요,https://www.inflearn.com/course/contributor와-함께하는-flutter-입문?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
바로쓰는 CI/CD on K8S,"실리콘 밸리의 최전선에서 직접 경험한 실무 사례를 바탕으로 한 DevOps 강의를 소개합니다. 이 강의는 이론에만 머무르지 않고, 실제 엔지니어링 현장에서 바로 적용할 수 있는 K8S환경에서 CI/CD 관련된 도구를 다룹니다.",https://www.inflearn.com/course/바로쓰는-cicd-k8s?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
얄코의 객체지향 디자인 패턴,OODP의 25가지 패턴들을 통해 소프트웨어를 객체지향적으로 설계하는 다양한 방법들을 배웁니다.,https://www.inflearn.com/course/객체지향-디자인-패턴-얄코?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
비전공자도 이해할 수 있는 DB 설계 입문/실전,"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한 'DB 설계 입문/실전' 강의를 만들어봤습니다!",https://www.inflearn.com/course/비전공자-db-설계-입문?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
코딩없이 시작하는 엑셀 크롤링. WEB부터 ChatGPT API까지,"코딩을 모르는 분들도 쉽게, 엑셀 파워쿼리 기능을 활용하여 데이터를 수집하고 가공하는 방법을 배우실 수 있어요.
아래 프로젝트를 같이 실습하면서 엑셀 크롤링 기술을 배웁니다.",https://www.inflearn.com/course/코딩없이-시작하는-엑셀크롤링?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
설계독학맛비's 실전 Verilog HDL Season 1 (Clock부터 Internal Memory까지),현업자와 함께 Verilog HDL을 이용하여 비메모리 반도체 설계의 기본 지식과 경험을 쌓아봅시다.,https://www.inflearn.com/course/실전-베릴로그?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
제대로 파는 Git & GitHub - by 얄코,"코알못도 따라올 수 있는 친절하고 쉬운 강좌!
현업 개발자는 Git 박사로 들어주는 끝판왕 강좌!",https://www.inflearn.com/course/제대로-파는-깃?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
아키텍처와 함께하는 Terraform (테라폼),Terraform을 활용하여 AWS InfraArchitecture를 기반으로 AWS 리소스를 생성하는 과정을 담았습니다.,https://www.inflearn.com/course/아키텍처와-함께하는-terraform?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
RAG를 활용한 LLM Application 개발 (feat. LangChain),실리콘밸리 GenAI 해커톤 우승자에게 배우는 RAG. 현업 노하우를 가득 담았습니다,https://www.inflearn.com/course/rag-llm-application개발-langchain?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
설계독학맛비's 실전 Verilog HDL Season 2 (AMBA AXI4 완전정복),설계독학과 함께 Verilog HDL을 이용하여 SoC Bus의 기본이 되는 AMBA AXI4 설계와 VIP 검증 경험을 쌓아봅시다!,https://www.inflearn.com/course/설계독학맛비-실전-verilog-hdl-part2?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
Tailwind CSS 실전 포트폴리오 퍼블리싱,[Tailwind CSS 실전 포트폴리오 퍼블리싱]은 Tailwind CSS를 활용해 26가지 이상의 다양한 실전 예제 제작하는 과정입니다. 실전 예제를 빠르게 다양하게 제작하면 그 속에서 필수적인 이론을 설명합니다. 해당 강의는 개발자와 퍼블리셔가 만드는 Tailwind CSS 스타일링을 중심으로 제작되었습니다.,https://www.inflearn.com/course/tailwind-css-포트폴리오-퍼블리싱?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
SW 개발자를 위한 성능 좋은 SQL 쿼리 작성법,SQL Server 전문가로부터 SQL 개발 단계에서 성능을 고려한 쿼리 작성법을 배우는 과정입니다. 쿼리 성능 요건을 만족하기 위한 기본 사항들을 실무 사례와 함께 습득할 수 있습니다.,https://www.inflearn.com/course/성능좋은-쿼리작성법?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
생각대로 바뀌는 설기문의 마인드 코칭,"개인의 내면을 깊이 탐색하고, 감정 조절 및 스트레스 관리를 위한 심리 기법을 제공합니다.",https://www.inflearn.com/course/생각대로-바뀌는-설기문의-마인드코칭?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
모두를 위한 대규모 언어 모델 LLM(Large Language Model) Part 1 - Llama 2 Fine-Tuning 해보기,LLM(Large Language Model)의 기초 개념부터 고성능 LLM인 Llama 2 모델을 내가 원하는 데이터셋에 Fine-Tuning하는 방법까지 차근차근 학습합니다.,https://www.inflearn.com/course/대규모-언어모델-llm-part1?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
FreeRTOS 프로그래밍,"RTOS를 사용하기만 하면 실시간 처리가 된다고 믿고 계시나요? 이 강의를 보시고 확인해보세요. 까다로운 인터럽트, 우선순위, 상호배제, 포팅에 대한 통찰력을 만들어드립니다.",https://www.inflearn.com/course/freertos-프로그래밍?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
"주요 지표 분석을 통한 비트코인, 알트코인 투자 노하우","비트코인 및 알트코인 투자시 놓치지 말아야 하는 안전한 지표 및 객관적 데이터 보는 방법,
0원에서 1억원까지 만든 실제 에어드랍 노하우 및 실전 방법 공유",https://www.inflearn.com/course/비트코-알트코인-투자?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
자동차 Autosar에 대한 이해,자동차 SW개발을 위한 Autosar 기본 개념을 학습합니다.,https://www.inflearn.com/course/자동차-autosar-이해?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
CAN 통신 - 자동차 신입이 알아야 할 모든 것,"CAN통신에 대한 '학술적인' 강의가 아니라 '같이 일하게 될' 신입사원에게 알려준다는 생각으로
일을 하는 과정에서 필요한 모든 얘기들을 담았습니다.",https://www.inflearn.com/course/자동차-신입-can통신?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
시스템 소프트웨어 개발의 모든 것 - 시스템 반도체와 전기 자동차 중심,"시스템 소프트웨어 개발자가 되기 위해 무엇을 준비하고 알아야 하는지 설명하는 강의입니다. 시스템 소프트웨어 개발 과정을 상세하게 설명하고 필요한 역량을 소개합니다. IT 업계에서 가장 높은 연봉을 받는 시스템 반도체, 전기 자동차 분야의 시스템 소프트웨어 개발 과정과 개발 생태계를 상세하게 다룹니다.",https://www.inflearn.com/course/시스템-소프트웨어-개발-시스템반도체-전기차?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
하루만에 오픽 IH 달성하기,초중고 교육과정을 마쳤다면 이미 실력은 충분합니다. 영어 비전공자가 알려주는 오픽 공략집을 확인해보세요!,https://www.inflearn.com/course/오픽-ih-하루완성?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
"[퇴근후딴짓] 빅데이터 분석기사 실기 (작업형1,2,3)","비전공자, 입문자가 빅데이터 분석기사 실기를 빠르게 취득할 수 있도록 안내해드려요!
꼭 필요한 파이썬, 판다스, 머신러닝을 다루고 있어요!",https://www.inflearn.com/course/빅데이터-분석기사-실기?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
외워서 끝내는 네트워크 핵심이론 - 기초,TCP/IP에서 HTTP까지! 네트워크에 대한 기본 이론이 부족한 분들이 '외워서'라도 전공 이론을 이해하고자 희망하는 분들을 위해 준비한 강의입니다. 할 수 있습니다!,https://www.inflearn.com/course/네트워크-핵심이론-기초?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
넓고 얕게 외워서 컴공 전공자 되기,"넓고 얕게 외워서 컴퓨터 공학 전공자가 되고 싶은 모든 비전공 초보자를 위한 강의입니다. 컴퓨터 구조, 운영체제 등 컴퓨터 공학 전공 필수과목에서 어떤 것을 배울 수 있는지 빠른 시간에 알 수 있습니다. 무엇보다 외워서라도 끝낼 수 있습니다!",https://www.inflearn.com/course/넓고얕게-컴공-전공자?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
[개정판] 파이썬 머신러닝 완벽 가이드,이론 위주의 머신러닝 강좌에서 탈피하여 머신러닝의 핵심 개념을 쉽게 이해함과 동시에 실전 머신러닝 애플리케이션 구현 능력을 갖출 수 있도록 만들어 드립니다.,https://www.inflearn.com/course/파이썬-머신러닝-완벽가이드?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
토스(前) 엔지니어가 알려주는 iOS 입문 - Swift언어부터 샘플앱까지,iOS의 시작. 망설이지 말고 이 강의를 들어보세요. 현업 10년차 이상의 개발자가 꼭 필요한 것만 쏙쏙 뽑아 준비했습니다.,https://www.inflearn.com/course/ios-쏙쏙-프로그래밍입문-언어부터-심플앱까지?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
중고급 SQL과 실전 데이터 분석 101 문제 풀이 [데이터분석/과학 Part1],"중고급 SQL을 익히고, 현업 수준의 실전 데이터 분석 문제 101 가지를 함께 풀며, 탄탄한 SQL 데이터 분석 역량을 다집니다.",https://www.inflearn.com/course/중고급sql-실전데이터분석-문제풀이?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
[2024] 한입 크기로 잘라 먹는 리액트(React.js) : 기초부터 실전까지,"개념부터 독특한 프로젝트까지 함께 다뤄보며 자바스크립트와 리액트를 이 강의로 한 번에 끝내요.
학습은 짧게, 응용은 길게 17시간 분량의 All-in-one 강의!",https://www.inflearn.com/course/한입-리액트?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
[2024 최신] [코드팩토리] [초급] Flutter 3.0 앱 개발 - 10개의 프로젝트로 오늘 초보 탈출!,iOS 앱과 Android 앱을 코드 한번만 작성해서 모두 제작한다! 코드팩토리의 Flutter 초보 탈출 강의! 디테일한 이론과 흥미로운 프로젝트를 진행하며 탄탄한 기본기 쌓기!,https://www.inflearn.com/course/플러터-프로젝트?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
한 입 크기로 잘라먹는 Next.js(15+),한입 시리즈의 3번째 작품! 세상에서 가장 친절하고 디테일 한 Next.js(15+)강의 입니다. App Router 뿐만 아니라 Page Router까지 프로젝트를 통해 살펴봅니다.,https://www.inflearn.com/course/한입-크기-nextjs?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
