과목명,강의 내용,상세 URL,이미지 URL
스프링 MVC 1편 - 백엔드 웹 개발 핵심 기술,"웹 애플리케이션을 개발할 때 필요한 모든 웹 기술을 기초부터 이해하고, 완성할 수 있습니다.
스프링 MVC의 핵심 원리와 구조를 이해하고, 더 깊이있는 백엔드 개발자로 성장할 수 있습니다.",https://www.inflearn.comhttps://www.inflearn.com/course/스프링-mvc-1?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/326674/cover/4657d793-56a4-42f3-9d44-dc88d125a49e?w=420
[AUTOSAR] 신입사원에게 들려주는 AUTOSAR기초 개념 완성,"AUTOSAR 기반 차량SW 개발을 위해 알아야 할 핵심 기초 지식을 ""입문자도 이해할 수 있게""  왕초보 개념부터 아주 자세한 내용까지 설명합니다",https://www.inflearn.comhttps://www.inflearn.com/course/autosar-기초-개념-완성?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/335114/cover/00356529-b9f9-4cc8-9b6b-9bddfd8d730d/335114.png?w=420
[Level 2] Qt를 이용한 Python 프로그래밍: QML편,QML은 Qt에서 제공하는 UI를 만드는 프로그래밍 인터프리터 언어입니다. JSON과 유사하고 JavaScript를 사용할 수 있습니다. QML과 Python 함께 이용하면 현대적인 고급 UI를 쉽게 개발할 수 있습니다.,https://www.inflearn.comhttps://www.inflearn.com/course/qt-python-프로그래밍-qml?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/335346/cover/f8e06c2e-03bb-4e02-910d-965ee2e547b8/335346.png?w=420
Vue3와 Supabase로 구인구직 사이트 만들기,나만의 풀스택 애플리케이션 개발에서 프로그래시브 웹앱(PWA)까지!,https://www.inflearn.comhttps://www.inflearn.com/course/vue3-supabase-구인구직-사이트?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/335421/cover/a70772a2-cf13-4ae7-8de2-ab07ada7a452/335421.png?w=420
비전공자도 이해할 수 있는 DB 설계 입문/실전,"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한 'DB 설계 입문/실전' 강의를 만들어봤습니다!",https://www.inflearn.comhttps://www.inflearn.com/course/비전공자-db-설계-입문?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/335049/cover/3371ecb5-c72b-4d5f-a830-e465110a8ae1/335049.png?w=420
[PL 0302] 넘파이 마스터 클래스,넘파이의 사용법과 이를 이용한 실전연습을 진행하는 강의입니다.,https://www.inflearn.comhttps://www.inflearn.com/course/pl-0302-넘파이-마스터-클래스?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/334756/cover/a4cbdc80-53da-4422-9b8d-67362b68a9fa/334756.png?w=420
[켠김에 출시까지] UE5 다크앤다커 스타일의 익스트랙션 RPG (D1),"<다크앤다커 스타일의 익스트랙션 온라인 RPG 게임> D1 개발을
처음부터 끝까지 따라가며 UE5 기술을 학습하는 강의입니다.",https://www.inflearn.comhttps://www.inflearn.com/course/켠김에-출시까지-다크앤다커-d1?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/335182/cover/26e0da12-51b6-43ed-98bf-a963486f4567/335182.png?w=420
남박사의 파이썬으로 봇 만들기 with ChatGPT,"파이썬을 활용하여 텔레그램 봇, 슬랙 봇, 카카오톡 챗봇, 디스코드 봇을 다양한 예제를 통해 각 서비스의 특징과 봇을 구현하는 방법에 대해 알아봅니다.",https://www.inflearn.comhttps://www.inflearn.com/course/파이썬-봇-chatgpt?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/328541/cover/804525f0-a691-4027-8559-d2c48eff7f08/328541.png?w=420
맛집 지도앱 만들기 (React Native + NestJS),"리액트 네이티브를 이용해서 나만의 맛집 기록앱을 개발하고 출시하는 과정을 배우게 됩니다. 디자인부터 프론트 및 백엔드 개발, 배포까지 전 과정을 준비했어요.",https://www.inflearn.comhttps://www.inflearn.com/course/맛집-지도앱-만들기-reactnative-nestjs?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/332375/cover/dd7d76ec-e44d-496e-8dc2-75b160252b9e/332375.png?w=420
모두를 위한 대규모 언어 모델 LLM(Large Language Model) Part 1 - Llama 2 Fine-Tuning 해보기,LLM(Large Language Model)의 기초 개념부터 고성능 LLM인 Llama 2 모델을 내가 원하는 데이터셋에 Fine-Tuning하는 방법까지 차근차근 학습합니다.,https://www.inflearn.comhttps://www.inflearn.com/course/대규모-언어모델-llm-part1?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/331821/cover/831ec067-4668-4554-864e-f2bb8a3ed11e/331821-eng.png?w=420
Tailwind CSS 실전 포트폴리오 퍼블리싱,[Tailwind CSS 실전 포트폴리오 퍼블리싱]은 Tailwind CSS를 활용해 26가지 이상의 다양한 실전 예제 제작하는 과정입니다. 실전 예제를 빠르게 다양하게 제작하면 그 속에서 필수적인 이론을 설명합니다. 해당 강의는 개발자와 퍼블리셔가 만드는 Tailwind CSS 스타일링을 중심으로 제작되었습니다.,https://www.inflearn.comhttps://www.inflearn.com/course/tailwind-css-포트폴리오-퍼블리싱?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/335203/cover/def950d1-826b-4e43-a045-4c620fd57829/335203.png?w=420
"[퇴근후딴짓] 빅데이터 분석기사 실기 (작업형1,2,3)","비전공자, 입문자가 빅데이터 분석기사 실기를 빠르게 취득할 수 있도록 안내해드려요!
꼭 필요한 파이썬, 판다스, 머신러닝을 다루고 있어요!",https://www.inflearn.comhttps://www.inflearn.com/course/빅데이터-분석기사-실기?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/329972/cover/dcfb28fd-48c1-4bb1-ab31-d59eac874194/329972-original.png?w=420
[임베디드 입문용] 임베디드 개발은 실제로 이렇게 해요.,임베디드 개발이 무엇인지 알려드려요. 뜬구름 잡는 추상적인 설명 없이 명확하게 개념을 설명해드려요.,https://www.inflearn.comhttps://www.inflearn.com/course/임베디드-개발-입문?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/328764/cover/7abf4e46-c5d1-4647-9f7a-b7380ab7aae6/328764-eng.png?w=420
[2024] 한입 크기로 잘라 먹는 리액트(React.js) : 기초부터 실전까지,"개념부터 독특한 프로젝트까지 함께 다뤄보며 자바스크립트와 리액트를 이 강의로 한 번에 끝내요.
학습은 짧게, 응용은 길게 17시간 분량의 All-in-one 강의!",https://www.inflearn.comhttps://www.inflearn.com/course/한입-리액트?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/328340/cover/13465c65-a83b-4bc1-82b3-71832345759d/328340-eng.png?w=420
2주만에 통과하는 알고리즘 코딩테스트 (2024년),"단 2주 분량의 강의로 알고리즘을 쉽게 만들어 드리겠습니다. 우리는 편해지기 위해서 컴퓨터를 사용하는 건데, 여러분은 왜 컴퓨터를 위해서 많은 시간을 사용하시나요?",https://www.inflearn.comhttps://www.inflearn.com/course/2주만에-통과하는-알고리즘-코딩테스트?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/331371/cover/87047b60-b040-4503-b5a0-616377588e31/331371-eng.png?w=420
제대로 파는 Git & GitHub - by 얄코,"코알못도 따라올 수 있는 친절하고 쉬운 강좌!
현업 개발자는 Git 박사로 들어주는 끝판왕 강좌!",https://www.inflearn.comhttps://www.inflearn.com/course/제대로-파는-깃?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/328284/cover/18612f29-4d6c-4804-a5e2-dc7e3a74b265/Git-GitHub--IFL.png?w=420
"주요 지표 분석을 통한 비트코인, 알트코인 투자 노하우","비트코인 및 알트코인 투자시 놓치지 말아야 하는 안전한 지표 및 객관적 데이터 보는 방법,
0원에서 1억원까지 만든 실제 에어드랍 노하우 및 실전 방법 공유",https://www.inflearn.comhttps://www.inflearn.com/course/비트코-알트코인-투자?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/335335/cover/2acad82a-2018-4180-861b-27aa717c76e3/335335.jpg?w=420
"파이썬입문과 크롤링기초 부트캠프 [파이썬, 웹, 데이터 이해 기본까지] (업데이트)","데이터 과학, 빅데이터, 크롤링을 익히고자 하시는 분들을 위해, 
(1) 짧은 시간안에 가장 필요한 파이썬 핵심 문법을 정리하고, (2) 실전 크롤링 프로그래밍을 통해 파이썬과 크롤링에 익숙해집니다.",https://www.inflearn.comhttps://www.inflearn.com/course/python-crawling-basic?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/324082/cover/57af93de-1021-40b4-80d7-a0dfc17190cf/324082.png?w=420
RAG를 활용한 LLM Application 개발 (feat. LangChain),실리콘밸리 GenAI 해커톤 우승자에게 배우는 RAG. 현업 노하우를 가득 담았습니다,https://www.inflearn.comhttps://www.inflearn.com/course/rag-llm-application개발-langchain?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/333796/cover/97e4a8aa-06b4-4e6d-89c7-a6231062cedd/333796.png?w=420
초보자를 위한 ChatGPT API 활용법 - API 기본 문법부터 12가지 프로그램 제작 배포까지,ChatGPT가 나만의 애플리케이션 안에 탑재된다면 어떨까요? 본 강의에서는 ChatGPT API를 활용하여 다양한 프로그램을 제작합니다. 기본적인 API 사용 방법부터 프로그램 제작 및 배포하는 방법까지 모든 과정을 자세하게 다룹니다.,https://www.inflearn.comhttps://www.inflearn.com/course/초보자를-위한-chatgpt-api-활용법?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/332111/cover/6992b7e9-fd14-4977-bb38-0866a407ef88/332111-eng.jpeg?w=420
한 입 크기로 잘라먹는 Next.js(15+),한입 시리즈의 3번째 작품! 세상에서 가장 친절하고 디테일 한 Next.js(15+)강의 입니다. App Router 뿐만 아니라 Page Router까지 프로젝트를 통해 살펴봅니다.,https://www.inflearn.comhttps://www.inflearn.com/course/한입-크기-nextjs?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/333250/cover/e3f951fc-a1d7-4de4-a065-85bb507b737f/333250.png?w=420
제대로 파는 HTML CSS - by 얄코,"코알못도 따라올 수 있는 친절하고 쉬운 강좌!
현업 개발자는 HTML & CSS 박사로 들어주는 끝판왕 강좌!",https://www.inflearn.comhttps://www.inflearn.com/course/제대로-파는-html-css?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/328592/cover/b8957940-b416-4f31-8ae1-1cd2c5b29f3a/HTML-CSS--IFL.png?w=420
외워서 끝내는 네트워크 핵심이론 - 기초,TCP/IP에서 HTTP까지! 네트워크에 대한 기본 이론이 부족한 분들이 '외워서'라도 전공 이론을 이해하고자 희망하는 분들을 위해 준비한 강의입니다. 할 수 있습니다!,https://www.inflearn.comhttps://www.inflearn.com/course/네트워크-핵심이론-기초?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/329534/cover/76d5fd7f-3e76-4801-bb8f-523d10ff5829/329534-eng.jpg?w=420
피그마(Figma)를 활용한 UI디자인 입문부터 실전까지 A to Z,"디자인을 공부해본 적이 없는 비전공자 분들, 이제 막 UX디자인을 공부하기 시작한 학생들, UX 및 UI 디자인 취준생 분들을 위해 준비한 ""피그마로 UI디자인하기 A to Z"" 수업입니다. 포토샵 등 다른 툴을 전혀 모르는 분도 피그마만 활용해 UI디자인 전문가가 될 수 있도록 기초부터 고급 기능까지 알려드립니다.",https://www.inflearn.comhttps://www.inflearn.com/course/피그마-ui디자인?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/course-326063-cover/4aff7ad8-ebd6-49ea-8d19-64d7e746c4fe?w=420
